,feature_colony,feature_tag_id,feature_body_size,feature_age(days),feature_nb_foraging_events,feature_group_period1_1,feature_group_period2_1,feature_group_period3_1,feature_group_period1_2,feature_group_period2_2,feature_group_period1_3,feature_group_period2_3,feature_group_period3_2,feature_group_period3_3,feature_group_period1_4,feature_group_period2_4,feature_group_period3_4,feature_visits_to_brood,feature_visits_to_nest_entrance,feature_visits_to_rubbishpile,feature_nb_interaction_nurses,feature_nb_interaction_cleaners,feature_nb_interaction_foragers,feature_nb_interaction_queen
54,78,740,152.594,120,0,0,1,1,0,0,1,0,0,0,0,0,0,202.545,0.636364,3.81818,386,304.27273,196.09091,0.6364
55,78,0,139.832,40,0,0,0,0,1,1,0,0,1,0,0,0,0,311.182,0,0,383.09091,53.727273,17.909091,11.09
56,78,263,179.889,120,0,0,0,0,1,1,0,0,1,0,0,0,0,454.909,0,1.45455,693.45455,169.18182,61.727273,32.18
57,78,262,181.868,57,0,0,0,0,1,1,0,0,1,0,0,0,0,321.091,1.09091,1.27273,692.54545,205.18182,124.72727,6.455
58,78,261,172.2,40,0,0,0,0,1,1,0,0,1,0,0,0,0,279.727,0,0.0909091,895.81818,127.63636,35.545455,29.55
59,78,260,165.194,190,74,1,1,1,0,0,0,0,0,0,0,0,0,0.0909091,15.2727,1.18182,114.45455,189.63636,748.63636,0.09091
60,78,264,163.808,92,0,0,0,0,1,1,0,0,1,0,0,0,0,32.5455,0.636364,0.545455,589.54545,263.27273,158.18182,10.55
61,78,159,175.285,162,1,0,0,1,0,0,1,1,0,0,0,0,0,123.273,0.454545,0.363636,742.63636,394.27273,276.36364,4.909
62,78,158,167.622,113,0,0,0,0,1,1,0,0,1,0,0,0,0,481.182,0.181818,0,820.81818,110.72727,42.272727,27.09
63,78,311,167.027,5,0,0,0,0,1,1,0,0,0,1,0,0,0,758.455,0,0.454545,553.27273,226.54545,124.72727,1.727
64,78,268,169.307,71,0,0,0,0,1,1,0,0,0,1,0,0,0,39,1.27273,0,480.72727,141.54545,101.54545,5.818
65,78,391,176.491,57,1,0,0,0,1,1,0,0,1,0,0,0,0,727.455,0.454545,0.727273,772.36364,140.36364,65,42.36
66,78,149,155.563,204,26,1,1,1,0,0,0,0,0,0,0,0,0,11.3636,26,0.727273,182,220.81818,704.09091,0.1818
67,78,397,179.805,176,32,1,1,1,0,0,0,0,0,0,0,0,0,0.181818,9.54545,0.727273,201.36364,270.63636,653.81818,0.1818
68,78,395,176.082,92,0,0,0,0,1,1,0,0,1,0,0,0,0,1552.82,0,0.0909091,850.36364,116.18182,39.181818,46.09
69,78,7,159.762,113,41,1,1,1,0,0,0,0,0,0,0,0,0,0.0909091,5.27273,0.272727,49.181818,106.27273,494.45455,0
70,78,6,231.353,183,0,1,1,1,0,0,0,0,0,0,0,0,0,0.818182,0.0909091,0.545455,123.72727,200.63636,399.09091,0
71,78,1,179.903,246,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.36364,0,5.8181818,36.727273,565.27273,0
72,78,507,178.216,64,0,0,0,0,1,1,0,0,1,0,0,0,0,377.273,0.363636,2.36364,452,55.272727,24.363636,7.545
73,78,74,304.015,1453,0,0,0,0,0,0,0,0,0,0,1,1,1,666,0,0.272727,1713.9091,115.63636,29.545455,0
74,78,70,143.736,57,0,0,0,1,1,0,0,1,0,0,0,0,0,326.636,0.0909091,0.272727,639.81818,237.09091,123.36364,29.73
75,78,593,183.469,169,0,0,0,0,1,1,0,0,1,0,0,0,0,173.545,0.0909091,5.81818,604.90909,245.72727,95.181818,4.273
76,78,592,166.148,99,0,0,1,1,0,0,1,0,0,0,0,0,0,5.63636,1.27273,4,222.36364,256.90909,241.72727,3.727
77,78,19,184.491,64,0,0,0,0,1,1,0,0,1,0,0,0,0,147.455,0.454545,0.272727,676.36364,198.09091,91.090909,18.18
78,78,614,181.747,99,14,0,1,1,0,0,1,0,0,0,0,0,0,23.5455,32.8182,131.273,547.45455,443,366.90909,5.182
79,78,14,161.549,78,0,0,0,1,1,0,0,1,0,0,0,0,0,44.4545,1.72727,9.81818,431.54545,196.09091,118.45455,16.09
80,78,13,149.486,120,0,0,0,0,1,1,0,0,1,0,0,0,0,410.636,1.54545,0.181818,730.45455,116.27273,54.181818,34.27
81,78,12,193.331,183,0,0,0,0,1,1,0,0,1,0,0,0,0,247.818,0.0909091,0,510.18182,193.18182,121.45455,7.091
82,78,97,217.187,176,0,0,0,0,1,1,0,0,1,0,0,0,0,45.6364,1.45455,0,789.45455,379.54545,343.54545,11
83,78,96,178.37,169,0,0,0,0,1,1,0,0,1,0,0,0,0,480.273,1.09091,1,1092.1818,226.09091,98.272727,51.45
84,78,91,172.308,113,0,0,0,0,1,1,0,0,1,0,0,0,0,634.727,0.727273,4.90909,1051.4545,267.36364,103.63636,24.64
85,78,169,185.421,246,67,1,1,1,0,0,0,0,0,0,0,0,0,0,40.1818,3.09091,69.909091,121.81818,671.81818,0.2727
86,78,299,176.182,14,0,0,0,0,1,1,0,0,1,0,0,0,0,310.273,0.545455,0.454545,751.27273,111.90909,43.545455,29
87,78,296,168.964,71,0,0,1,1,0,0,1,0,0,0,0,0,0,41.4545,18.0909,2.72727,366.18182,344.54545,354.18182,1.909
88,78,98,166.769,71,0,0,0,0,1,1,0,0,1,0,0,0,0,360.636,0.181818,0,945.54545,108.72727,43.363636,50.91
89,78,137,214.555,40,0,0,0,0,1,1,0,0,1,0,0,0,0,21,0,0.0909091,631.54545,257.18182,177.27273,8.818
90,78,210,164.514,204,0,0,0,0,1,1,0,0,1,0,0,0,0,68.3636,1,1.18182,508.72727,167.09091,108.81818,12.18
91,78,458,185.529,71,0,0,0,0,1,1,0,0,1,0,0,0,0,416.364,0,1.45455,730.81818,170.90909,79.545455,21.27
92,78,68,160.702,50,0,0,0,0,1,1,0,0,1,0,0,0,0,512.636,0.818182,0,817.72727,80.454545,29.181818,18.36
93,78,60,182.521,190,20,1,1,1,0,0,0,0,0,0,0,0,0,5.36364,77.7273,11.7273,147.09091,260.45455,602.27273,0
94,78,62,168.505,14,0,0,0,0,1,1,0,0,1,0,0,0,0,306.455,0,0.272727,544.54545,90.181818,41.454545,7.091
95,78,64,174.413,40,0,0,0,0,1,1,0,0,1,0,0,0,0,231.273,0.363636,0.181818,724.72727,127,50.818182,11.09
96,78,66,203.394,40,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,31.7273,258.45455,288,343.36364,0.1818
97,78,604,234.062,40,0,0,0,0,1,1,0,0,1,0,0,0,0,69.5455,0,0.454545,792.27273,346.36364,168.54545,4.091
98,78,607,190.882,204,11,1,1,1,0,0,0,0,0,0,0,0,0,0.727273,14.8182,1.09091,80.363636,123.45455,513.45455,0
99,78,289,183.918,78,0,0,0,0,1,1,0,0,1,0,0,0,0,430.455,0,5.63636,636,230,116.81818,14.36
100,78,80,206.652,40,0,0,0,0,1,1,0,0,1,0,0,0,0,410.545,0,0,867.72727,224.72727,119.90909,6.545
101,78,170,170.229,50,0,0,0,0,1,1,0,0,1,0,0,0,0,291.273,0.272727,0,1005.6364,237.63636,101.54545,15.82
102,78,175,195.576,183,7,1,1,1,0,0,0,0,0,0,0,0,0,2.27273,1.18182,6.90909,202.09091,387.54545,529,1.364
103,78,174,179.477,14,0,0,0,0,1,1,0,0,1,0,0,0,0,699.364,0,0.363636,1008.6364,117,63.454545,59.55
104,78,206,241.108,197,0,1,0,0,0,0,0,1,1,0,0,0,0,16.8182,5.18182,0.0909091,426.54545,310.72727,403.90909,1.545
105,78,202,174.428,183,62,1,1,1,0,0,0,0,0,0,0,0,0,10.2727,335,27.5455,166.36364,286.09091,721.45455,0.7273
106,78,376,207.234,190,0,1,1,1,0,0,0,0,0,0,0,0,0,11.9091,8,0.181818,175.09091,241.45455,588.27273,1.182
107,78,209,148.385,64,0,0,0,0,1,1,0,0,1,0,0,0,0,496.636,1,5,651.09091,112.45455,47.818182,19.91
108,78,638,184.024,14,0,0,0,0,1,1,0,0,1,0,0,0,0,117.636,0,0,1000.2727,186.72727,60.454545,14.55
109,78,635,185.602,50,0,0,0,0,1,1,0,0,1,0,0,0,0,240.909,0.181818,0,974.36364,155.27273,70.272727,20.73
110,78,30,150.586,155,35,1,1,1,0,0,0,0,0,0,0,0,0,0,77.0909,3.90909,49.090909,106.72727,557.63636,0
111,78,530,170.344,64,0,0,0,0,1,1,0,0,1,0,0,0,0,409,0,0.363636,1073.4545,155.18182,69.454545,51.91
112,78,534,176.309,78,0,0,0,0,1,1,0,0,1,0,0,0,0,268.727,0,0.636364,657.45455,116.27273,48.636364,12.82
113,78,232,216.342,50,0,0,0,0,1,1,0,0,1,0,0,0,0,116.364,0.0909091,0.181818,784.36364,201,79.818182,25.18
114,78,109,193.256,14,0,0,0,0,1,1,0,0,1,0,0,0,0,268.091,0,0,890.36364,117.81818,36,24
115,78,433,170.883,113,0,0,0,0,0,0,1,1,0,1,0,0,0,105.091,3.45455,12.3636,675.27273,433.54545,319.18182,8.636
